Depth_(m)	Bit Size_(inch)	Bit_Type	Weight_on_Bit	Bit_Rotation_(RPM)	Mud_Weight(pcf)	Flow_Rate(gpm)	Pump_Pressure (psia)	Rate_of_Penetration_ROP_(M/H)
18	26	1	3.5	35	65	100	0	0.2
20	26	1	3.5	35	65	100	200	2.5
1093	17.5	3	0	0	76	0	0	1.63
1163	17.5	1	0	0	80	0	0	1.77
3083	8.5	3	0	0	80	0	0	1.17
2896	12.25	3	0	0	92	0	0	0.68
2991	12.25	3	0	0	101.5	0	0	1.42
2792.6	12.25	2	30	0	89	550	2300	0.21
2792.6	12.25	2	27.5	0	89	550	2320	0.22
2796.3	12.25	2	27.5	0	89	550	2320	0.2
2800.25	12.25	2	30	0	89	550	2290	0.17
2801	12.25	2	30	0	89	550	2300	0.17
1900	12.25	3	0	0	91	670	1850	7.02
3333	8.5	3	7.5	32.5	85.5	385	2650	1.56
3366	8.5	3	7.5	32.5	87	385	2650	1.54
3387	8.5	3	7.5	32.5	87	385	2650	1.54
3389.5	8.5	3	7.5	32.5	87	385	2650	1.54
3290	8.5	3	7.5	32.5	84	395	2650	1.53
3570	6.13	2	5	35	62	200	1800	0.69
3696	6.13	3	15	35	62	200	1700	0.98
